Supplier#000000044       	18
Supplier#000000053       	19
Supplier#000000077       	18
Supplier#000000135       	19
Supplier#000000148       	18
Supplier#000000158       	21
Supplier#000000182       	19
Supplier#000000212       	26
Supplier#000000232       	20
Supplier#000000258       	22
Supplier#000000328       	18
Supplier#000000350       	21
Supplier#000000409       	23
Supplier#000000477       	19
Supplier#000000533       	19
Supplier#000000563       	18
Supplier#000000629       	21
Supplier#000000741       	21
Supplier#000000841       	25
Supplier#000000861       	19
Supplier#000000933       	18
Supplier#000000964       	18
Supplier#000001035       	24
Supplier#000001276       	18
Supplier#000001286       	20
Supplier#000001327       	19
Supplier#000001967       	18
Supplier#000002053       	19
Supplier#000002074       	20
Supplier#000002159       	18
Supplier#000002267       	18
Supplier#000002293       	20
Supplier#000002324       	18
Supplier#000002780       	20
Supplier#000003108       	22
Supplier#000003146       	20
Supplier#000003329       	19
Supplier#000003343       	19
Supplier#000003740       	19
Supplier#000003753       	19
Supplier#000003799       	22
Supplier#000003807       	19
Supplier#000003852       	21
Supplier#000003963       	19
Supplier#000004021       	24
Supplier#000004036       	20
Supplier#000004062       	22
Supplier#000004185       	19
Supplier#000004200       	19
Supplier#000004211       	19
Supplier#000004275       	20
Supplier#000004323       	21
Supplier#000004358       	21
Supplier#000004416       	20
Supplier#000004474       	20
Supplier#000004546       	24
Supplier#000004617       	24
Supplier#000004949       	21
Supplier#000005242       	19
Supplier#000005422       	20
Supplier#000005425       	23
Supplier#000005476       	21
Supplier#000005756       	19
Supplier#000005810       	20
Supplier#000005946       	19
Supplier#000005953       	23
Supplier#000006041       	19
Supplier#000006223       	23
Supplier#000006317       	19
Supplier#000006695       	23
Supplier#000006787       	20
Supplier#000006956       	22
Supplier#000007133       	21
Supplier#000007241       	23
Supplier#000007305       	20
Supplier#000007665       	21
Supplier#000007667       	21
Supplier#000007830       	19
Supplier#000007989       	21
Supplier#000008312       	25
Supplier#000008438       	25
Supplier#000008520       	22
Supplier#000008620       	20
Supplier#000008637       	23
Supplier#000008697       	19
Supplier#000008706       	19
Supplier#000008824       	21
Supplier#000008842       	19
Supplier#000008845       	21
Supplier#000008933       	22
Supplier#000009034       	20
Supplier#000009036       	21
Supplier#000009059       	21
Supplier#000009287       	20
Supplier#000009311       	20
Supplier#000009422       	21
Supplier#000009459       	23
Supplier#000009587       	23
Supplier#000009762       	19
Supplier#000009934       	19
