ALGERIA                  	1992	208960.4235
ALGERIA                  	1993	111822.5547
ALGERIA                  	1994	61098.2868
ALGERIA                  	1995	261289.0924
ALGERIA                  	1996	240617.3023
ALGERIA                  	1997	130200.6450
ALGERIA                  	1998	143366.2840
ARGENTINA                	1992	107898.2419
ARGENTINA                	1993	99256.4087
ARGENTINA                	1994	146951.6470
ARGENTINA                	1995	79258.6279
ARGENTINA                	1996	112437.6520
ARGENTINA                	1997	207966.0854
ARGENTINA                	1998	87703.7545
BRAZIL                   	1992	286103.2101
BRAZIL                   	1993	89333.8072
BRAZIL                   	1994	273968.0066
BRAZIL                   	1995	296223.9221
BRAZIL                   	1996	180899.1088
BRAZIL                   	1997	161657.4694
BRAZIL                   	1998	139264.8539
CANADA                   	1992	138497.6005
CANADA                   	1993	182185.7424
CANADA                   	1994	211545.6605
CANADA                   	1995	160822.9072
CANADA                   	1996	198119.4865
CANADA                   	1997	100331.4594
CANADA                   	1998	154244.7249
CHINA                    	1992	343979.1672
CHINA                    	1993	164719.8166
CHINA                    	1994	345806.6650
CHINA                    	1995	246911.2582
CHINA                    	1996	324598.1956
CHINA                    	1997	254814.1781
CHINA                    	1998	104477.6282
EGYPT                    	1992	216711.4130
EGYPT                    	1993	224741.3824
EGYPT                    	1994	229685.1500
EGYPT                    	1995	183263.7936
EGYPT                    	1996	193554.8018
EGYPT                    	1997	128094.1536
EGYPT                    	1998	114467.2380
ETHIOPIA                 	1992	83080.7412
ETHIOPIA                 	1993	103918.6376
ETHIOPIA                 	1994	93238.3074
ETHIOPIA                 	1995	134904.6512
ETHIOPIA                 	1996	225115.9860
ETHIOPIA                 	1997	87574.2140
ETHIOPIA                 	1998	16789.0212
FRANCE                   	1992	207661.9830
FRANCE                   	1993	84709.7486
FRANCE                   	1994	169296.8234
FRANCE                   	1995	248299.8320
FRANCE                   	1996	78846.9571
FRANCE                   	1997	217793.6862
FRANCE                   	1998	8327.6879
GERMANY                  	1992	310390.7858
GERMANY                  	1993	153707.4014
GERMANY                  	1994	106311.3338
GERMANY                  	1995	243694.7104
