Supplier#000000033       	20
Supplier#000000044       	17
Supplier#000000053       	17
Supplier#000000077       	21
Supplier#000000085       	11
Supplier#000000120       	12
Supplier#000000135       	10
Supplier#000000148       	13
Supplier#000000158       	13
Supplier#000000180       	17
Supplier#000000182       	18
Supplier#000000212       	16
Supplier#000000232       	16
Supplier#000000254       	13
Supplier#000000258       	13
Supplier#000000272       	22
Supplier#000000326       	13
Supplier#000000328       	20
Supplier#000000350       	15
Supplier#000000369       	16
Supplier#000000384       	16
Supplier#000000387       	11
Supplier#000000390       	16
Supplier#000000404       	10
Supplier#000000409       	13
Supplier#000000437       	15
Supplier#000000477       	13
Supplier#000000533       	13
Supplier#000000554       	12
Supplier#000000563       	18
Supplier#000000587       	14
Supplier#000000598       	17
Supplier#000000617       	22
Supplier#000000623       	14
Supplier#000000629       	22
Supplier#000000645       	12
Supplier#000000649       	16
Supplier#000000654       	18
Supplier#000000741       	22
Supplier#000000756       	17
Supplier#000000815       	14
Supplier#000000841       	18
Supplier#000000861       	18
Supplier#000000885       	16
Supplier#000000896       	17
Supplier#000000933       	16
Supplier#000000959       	14
Supplier#000000964       	16
Supplier#000000965       	18
Supplier#000000996       	19
