-111.84	Supplier#000000920	SAUDI ARABIA	12919	Manufacturer#2	Ix0QnIqftxMwHW5KHeB,xB	30-713-464-9920	leep carefully among the e
-111.84	Supplier#000000920	SAUDI ARABIA	15389	Manufacturer#3	Ix0QnIqftxMwHW5KHeB,xB	30-713-464-9920	leep carefully among the e
-113.45	Supplier#000000417	FRANCE	4416	Manufacturer#2	b3CbQxCMWWu,YyeQU 51fccuv7Mt	16-563-597-5520	equests hinder quiet courts. carefully
-115.01	Supplier#000000475	CANADA	10214	Manufacturer#1	xw4V6,4QQW LI5Qg EOKy4JD B4Cq1tjzaOma9Y	13-397-755-1516	among the slyly regular deposits cajole after the even theodolites. carefully unusua
-118.86	Supplier#000000612	UNITED KINGDOM	1858	Manufacturer#2	gt9T2nnuWBiy5zcrWG2iSdZt,sAEYnD6	33-377-769-8060	regular requests after the slyly regular packages belie
-12.78	Supplier#000000444	VIETNAM	1192	Manufacturer#4	mHr2VcUpRkvyQ9rjKMaPkeWbVZmEIhxhb8F	31-256-493-5644	riously final requests sublate slyly. furiously ironic packages
-12.78	Supplier#000000444	VIETNAM	12919	Manufacturer#2	mHr2VcUpRkvyQ9rjKMaPkeWbVZmEIhxhb8F	31-256-493-5644	riously final requests sublate slyly. furiously ironic packages
-12.84	Supplier#000000590	INDONESIA	4081	Manufacturer#5	KhRtsL4Foycp2hUwg bEHkDusXAf	19-277-247-1833	de of the express requests. pinto beans are
-12.84	Supplier#000000590	INDONESIA	9071	Manufacturer#2	KhRtsL4Foycp2hUwg bEHkDusXAf	19-277-247-1833	de of the express requests. pinto beans are
-128.86	Supplier#000000421	INDIA	420	Manufacturer#2	tXZPR dOYjjbGjarXxKPn,1	18-360-757-8604	c dependencies. quick, express deposits cajole quickly. fo
-128.86	Supplier#000000421	INDIA	9161	Manufacturer#3	tXZPR dOYjjbGjarXxKPn,1	18-360-757-8604	c dependencies. quick, express deposits cajole quickly. fo
-158.08	Supplier#000000886	ARGENTINA	11885	Manufacturer#3	R52IgT6b0yBuU r8,dNRZVWRY	11-329-720-1904	ts during the blithely silent packages c
-158.08	Supplier#000000886	ARGENTINA	1634	Manufacturer#2	R52IgT6b0yBuU r8,dNRZVWRY	11-329-720-1904	ts during the blithely silent packages c
-158.08	Supplier#000000886	ARGENTINA	8111	Manufacturer#2	R52IgT6b0yBuU r8,dNRZVWRY	11-329-720-1904	ts during the blithely silent packages c
-170.22	Supplier#000000162	INDONESIA	16363	Manufacturer#2	hf2fnryOkI9VjFN8R8i5rRWguXzdlMu3o	19-905-888-6020	sits. even frets believe fluffily. fluffily regular accounts
-170.22	Supplier#000000162	INDONESIA	9161	Manufacturer#3	hf2fnryOkI9VjFN8R8i5rRWguXzdlMu3o	19-905-888-6020	sits. even frets believe fluffily. fluffily regular accounts
-192.51	Supplier#000000183	ALGERIA	3423	Manufacturer#4	zAAIv68BEXvllrfgsW,i8e	10-842-403-7954	slyly final dependencies alongside of the fluffily iro
-192.51	Supplier#000000183	ALGERIA	5672	Manufacturer#4	zAAIv68BEXvllrfgsW,i8e	10-842-403-7954	slyly final dependencies alongside of the fluffily iro
-197.51	Supplier#000000665	JAPAN	11664	Manufacturer#1	n4JVAxZUnvT5dVZBK,3CIIDoa	22-273-991-9361	nding theodolites. fluffily final packages wake? idle req
-197.51	Supplier#000000665	JAPAN	14872	Manufacturer#1	n4JVAxZUnvT5dVZBK,3CIIDoa	22-273-991-9361	nding theodolites. fluffily final packages wake? idle req
-199.77	Supplier#000000518	ARGENTINA	1015	Manufacturer#4	g2buDv7WzbkNDU63IN5af0i6SAdUxihirS2X	11-853-939-1266	egular dependencies integrate carefully among the enticingly f
